KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001102001,T001102002,T001102003,T001102004,T001102005,T001102006,T001102007,T001102008,T001102009,T001102010,T001102011,T001102012,T001102013,T001102014,T001102015,T001102016,T001102017,T001102018,T001102019,T001102020,T001102021,T001102022,T001102023,T001102024,T001102025,T001102026,T001102027,T001102028,T001102029,T001102030,T001102031,T001102032,T001102033,T001102034,T001102035,T001102036,T001102037,T001102038,T001102039,T001102040,T001102041,T001102042,T001102043,T001102044,T001102045,T001102046,T001102047,T001102048,T001102049,T001102050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
5338248442,0,,,67,36,31,3,3,0,60,31,29,37,21,16,55,27,28,54,26,28,23,10,13,11,3,8,4,1,3,0,0,0,0,0,0,26,26,4,11,5,4,2,0,0,21,17,4,1,15,0,4,4
5338248443,0,,,15,8,7,4,3,1,8,4,4,8,4,4,8,4,4,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,2,1,2,0,0,0,4,4,0,1,0,0,0,0
5338248444,0,,,85,41,44,12,6,6,58,27,31,33,16,17,57,27,30,57,27,30,25,11,14,11,4,7,2,0,2,0,0,0,0,0,0,30,30,3,12,4,9,2,0,0,22,20,2,4,16,0,3,4
5338248511,0,,,17,9,8,0,0,0,17,9,8,10,6,4,17,9,8,17,9,8,7,3,4,3,1,2,1,1,0,0,0,0,0,0,0,6,6,1,2,2,0,0,1,0,5,4,1,0,4,0,1,1
5338248512,1,,5338248513,18,11,7,3,2,1,18,11,7,11,8,3,17,10,7,17,10,7,7,3,4,5,3,2,3,1,2,0,0,0,0,0,0,6,6,0,3,1,3,0,0,0,7,7,0,1,4,0,0,2
5338248513,2,5338248512,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5338248531,2,5338248533,,9,5,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5338248533,1,,5338248531,18,9,9,0,0,0,25,14,11,15,10,5,25,14,11,24,13,11,10,4,6,8,3,5,4,2,2,1,1,0,0,0,0,6,6,1,4,1,2,0,0,1,7,5,2,0,6,0,1,1
5338248612,0,,,12,5,7,0,0,0,12,5,7,6,2,4,12,5,7,12,5,7,6,3,3,4,2,2,0,0,0,0,0,0,0,0,0,5,5,1,1,3,0,0,0,0,4,3,1,0,4,0,0,1
5338248614,0,,,14,8,6,0,0,0,14,8,6,10,7,3,14,8,6,13,7,6,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,1,0,1,0,0,4,3,1,0,3,1,1,1
5338248621,1,,5338247643;5338248622,81,39,42,4,1,3,84,41,43,48,24,24,82,40,42,77,38,39,36,17,19,20,10,10,7,2,5,0,0,0,0,0,0,23,23,2,4,7,6,3,3,0,23,11,12,1,20,0,0,3
5338248622,2,5338248621,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5338248623,0,,,62,34,28,4,4,0,58,30,28,32,21,11,57,29,28,56,28,28,26,9,17,10,4,6,6,3,3,0,0,0,0,0,0,25,25,7,9,4,3,0,1,1,18,12,6,1,19,0,5,3
5338248624,0,,,35,17,18,2,0,2,33,17,16,19,11,8,32,16,16,31,16,15,14,6,8,7,2,5,3,1,2,1,0,1,0,0,0,16,16,6,4,5,0,0,1,0,10,9,1,0,9,0,4,2
5338248631,2,5338248632,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5338248632,1,,5338248631,16,6,10,0,0,0,19,7,12,15,5,10,17,6,11,16,6,10,4,2,2,2,0,2,0,0,0,0,0,0,0,0,0,5,5,1,1,2,1,0,1,0,5,3,2,0,4,0,1,0
5338248634,0,,,18,9,9,3,2,1,15,7,8,12,5,7,15,7,8,14,7,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,2,3,0,1,0,0,6,6,0,0,2,0,0,0
5338248641,2,5338248642,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5338248642,1,,5338248641,48,26,22,2,1,1,50,27,23,32,19,13,49,27,22,46,25,21,18,8,10,14,6,8,7,4,3,1,1,0,0,0,0,20,20,7,6,5,2,2,0,0,15,11,4,0,13,0,4,2
5338248643,0,,,69,34,35,5,3,2,64,31,33,43,21,22,60,30,30,58,30,28,21,10,11,9,4,5,1,1,0,0,0,0,0,0,0,22,22,3,5,4,7,2,1,0,19,14,5,0,14,0,3,1
5338248644,0,,,34,16,18,5,3,2,29,13,16,20,10,10,28,12,16,27,12,15,9,3,6,2,0,2,2,0,2,0,0,0,0,0,0,11,11,2,1,3,4,1,0,0,9,7,2,2,5,0,2,1
5338248711,0,,,99,55,44,4,3,1,95,52,43,56,33,23,94,52,42,91,50,41,39,19,20,23,11,12,5,1,4,0,0,0,0,0,0,36,36,8,9,7,8,4,0,0,27,24,3,1,25,0,7,7
5338248713,0,,,106,51,55,8,6,2,98,45,53,49,26,23,96,45,51,93,43,50,49,19,30,27,10,17,7,1,6,1,0,1,3,2,1,45,45,11,18,10,2,3,1,0,34,28,6,3,33,0,8,10
5338248714,0,,,17,7,10,2,0,2,15,7,8,11,5,6,15,7,8,15,7,8,4,2,2,4,2,2,3,1,2,1,1,0,1,1,0,4,4,1,0,1,1,0,0,1,3,1,2,1,2,0,0,0
5338248722,2,5338248724,,10,10,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5338248723,2,5338248724,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5338248724,1,,5338248722;5338248723,12,5,7,12,10,2,13,6,7,6,3,3,12,5,7,12,5,7,7,3,4,5,2,3,3,1,2,0,0,0,0,0,0,5,5,2,3,1,0,1,0,0,5,4,1,0,5,0,1,3
5338248731,0,,,123,57,66,21,10,11,102,47,55,77,35,42,94,42,52,91,40,51,25,12,13,12,6,6,0,0,0,0,0,0,0,0,0,42,42,6,14,8,7,6,0,1,36,29,7,5,18,0,3,7
5338248733,0,,,23,9,14,1,0,1,22,9,13,6,3,3,22,9,13,21,8,13,16,6,10,11,3,8,9,2,7,0,0,0,0,0,0,7,6,1,3,1,1,0,0,0,5,5,0,0,4,0,1,3
5338248734,0,,,18,9,9,0,0,0,18,9,9,7,2,5,18,9,9,18,9,9,11,7,4,6,3,3,3,1,2,0,0,0,0,0,0,8,8,3,1,3,1,0,0,0,5,4,1,0,8,0,3,1
5338248741,0,,,27,13,14,5,1,4,22,12,10,12,7,5,22,12,10,21,11,10,10,5,5,7,3,4,2,1,1,0,0,0,0,0,0,9,9,3,0,3,2,0,0,1,6,5,1,2,7,0,3,0
5338248742,0,,,12,6,6,1,1,0,11,5,6,7,4,3,10,4,6,9,4,5,4,1,3,2,0,2,0,0,0,0,0,0,0,0,0,6,6,2,2,2,0,0,0,0,4,4,0,0,3,0,1,1
5338248743,0,,,105,51,54,10,5,5,93,45,48,49,25,24,89,42,47,88,42,46,44,20,24,20,10,10,13,6,7,0,0,0,2,0,2,34,34,3,11,8,5,6,1,0,30,22,8,1,27,0,3,5
5338248744,0,,,21,10,11,0,0,0,21,10,11,11,6,5,20,10,10,20,10,10,10,4,6,4,1,3,2,0,2,0,0,0,0,0,0,7,7,2,0,2,2,1,0,0,5,3,2,0,6,0,2,0
5338248811,2,5338248833,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5338248813,2,5338248833,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5338248831,2,5338248833,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5338248833,1,,5338248811;5338248813;5338248831,102,54,48,2,1,1,104,55,49,63,33,30,100,53,47,97,51,46,41,22,19,18,10,8,5,4,1,0,0,0,2,1,1,24,23,8,9,5,1,2,0,0,17,16,1,1,19,0,6,5
5338249013,0,,,49,22,27,5,3,2,43,19,24,28,12,16,41,18,23,40,18,22,15,7,8,5,2,3,0,0,0,0,0,0,0,0,0,16,16,1,9,1,1,2,1,1,15,12,3,1,9,0,0,4
5338249014,0,,,22,9,13,0,0,0,22,9,13,16,5,11,20,8,12,16,8,8,6,4,2,3,2,1,1,1,0,1,1,0,1,0,1,7,7,1,0,3,3,0,0,0,6,5,1,0,3,0,0,0
5338249023,1,,5338249024,13,6,7,1,0,1,16,7,9,11,6,5,14,5,9,14,5,9,5,1,4,4,1,3,3,1,2,0,0,0,0,0,0,4,4,1,1,1,2,0,1,0,4,2,2,0,4,0,1,1
5338249024,2,5338249023,,7,2,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5338249032,1,,5338249034,68,40,28,10,7,3,54,30,24,41,22,19,50,27,23,47,26,21,13,8,5,4,1,3,1,0,1,0,0,0,0,0,0,23,23,3,7,6,7,1,1,0,20,18,2,1,10,0,3,3
5338249034,2,5338249032,,6,2,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5338249041,1,,5338249044,77,33,44,12,5,7,73,33,40,41,20,21,71,31,40,71,31,40,32,13,19,16,6,10,3,1,2,2,1,1,0,0,0,26,26,3,8,6,7,3,1,0,25,16,9,2,20,0,1,5
5338249042,0,,,27,12,15,0,0,0,21,10,11,7,3,4,21,10,11,21,10,11,14,7,7,5,3,2,1,1,0,0,0,0,0,0,0,13,13,3,7,2,1,0,0,0,8,8,0,0,9,0,3,5
5338249043,0,,,42,20,22,3,1,2,31,15,16,16,7,9,30,15,15,30,15,15,15,8,7,6,3,3,2,1,1,0,0,0,0,0,0,17,17,2,8,4,3,0,0,0,12,11,1,0,9,0,1,6
5338249044,2,5338249041,,9,5,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5338249133,0,,,74,32,42,10,3,7,64,29,35,37,16,21,64,29,35,64,29,35,27,13,14,9,4,5,1,0,1,1,0,1,1,1,0,24,24,3,6,6,7,0,1,1,21,17,4,1,17,0,2,4
5338249134,0,,,100,49,51,8,3,5,92,46,46,52,29,23,91,46,45,91,46,45,40,17,23,18,6,12,9,3,6,2,0,2,0,0,0,35,35,4,12,10,4,4,1,0,31,26,5,3,23,0,4,8
5338249141,2,5338249142,,4,3,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5338249142,1,,5338249141,7,2,5,0,0,0,11,5,6,8,3,5,11,5,6,10,5,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,1,0,0,0,0,5,5,0,0,2,0,0,1
5338249143,0,,,82,28,54,3,1,2,74,25,49,15,8,7,74,25,49,74,25,49,59,17,42,51,13,38,42,10,32,12,1,11,5,2,3,10,9,2,1,3,0,3,0,0,6,5,1,0,4,0,2,1
5338249144,0,,,49,24,25,5,1,4,41,21,20,21,11,10,39,20,19,37,20,17,20,10,10,11,5,6,3,2,1,0,0,0,0,0,0,17,17,1,7,4,3,2,0,0,15,15,0,1,11,0,1,7
5338249211,0,,,78,42,36,17,6,11,59,34,25,45,25,20,58,33,25,53,30,23,14,9,5,4,3,1,0,0,0,0,0,0,17,9,8,37,37,17,7,5,8,0,0,0,20,19,1,6,10,0,6,3
5338249322,2,5338249324,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5338249324,1,,5338249322,58,28,30,13,9,4,48,21,27,39,18,21,45,20,25,44,20,24,9,3,6,6,1,5,1,0,1,0,0,0,0,0,0,18,18,0,5,8,4,1,1,0,18,14,4,1,7,0,0,2
5338249341,2,5338249342,,8,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5338249342,1,,5338249341,151,73,78,17,7,10,134,68,66,101,54,47,126,63,63,119,59,60,33,14,19,16,5,11,8,3,5,0,0,0,0,0,0,55,55,10,19,13,11,2,3,0,46,40,6,2,24,0,5,8
5338249343,0,,,122,62,60,12,4,8,98,51,47,62,35,27,94,49,45,94,49,45,36,16,20,20,11,9,7,4,3,1,0,1,3,2,1,44,44,7,14,10,10,2,0,1,34,29,5,5,20,0,4,9
5338249344,0,,,108,51,57,7,3,4,93,44,49,50,25,25,92,44,48,90,43,47,43,19,24,22,6,16,9,3,6,2,0,2,0,0,0,43,43,11,16,6,6,2,1,1,30,26,4,0,27,0,7,9
5338249411,0,,,21,8,13,2,1,1,19,7,12,9,3,6,18,7,11,18,7,11,10,4,6,4,1,3,2,0,2,0,0,0,0,0,0,9,9,2,3,3,1,0,0,0,7,7,0,0,7,0,2,2
5338249413,0,,,39,19,20,5,3,2,30,14,16,26,14,12,25,11,14,25,11,14,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,13,13,1,4,3,4,1,0,0,11,10,1,1,4,0,1,0
5338249421,0,,,35,14,21,4,1,3,31,13,18,16,6,10,31,13,18,30,13,17,15,7,8,4,1,3,2,1,1,0,0,0,0,0,0,15,15,4,7,0,3,1,0,0,11,9,2,1,10,0,3,4
5338249422,0,,,77,41,36,2,1,1,74,40,34,44,25,19,70,37,33,67,36,31,30,15,15,21,10,11,8,5,3,0,0,0,0,0,0,28,28,6,8,4,7,3,0,0,22,17,5,0,19,0,3,4
5338249423,0,,,28,12,16,3,1,2,25,11,14,14,7,7,22,9,13,22,9,13,11,4,7,3,0,3,2,0,2,0,0,0,0,0,0,12,12,4,5,1,0,1,1,0,7,6,1,1,8,0,4,3
5338249424,0,,,59,31,28,3,1,2,56,30,26,35,18,17,56,30,26,56,30,26,21,12,9,11,6,5,4,2,2,0,0,0,0,0,0,20,20,3,7,2,6,1,0,1,17,13,4,1,14,0,3,5
5338249431,0,,,71,37,34,28,17,11,40,19,21,37,18,19,36,15,21,34,14,20,3,1,2,0,0,0,0,0,0,0,0,0,3,1,2,23,23,6,2,5,5,4,1,0,17,17,0,8,3,0,3,0
5338249433,0,,,93,44,49,5,3,2,88,41,47,47,24,23,87,40,47,85,38,47,41,17,24,21,8,13,9,4,5,1,0,1,1,1,0,39,39,8,18,7,4,1,0,1,30,27,3,3,25,0,4,11
5338249434,0,,,30,14,16,5,3,2,25,11,14,13,7,6,24,11,13,24,11,13,12,4,8,7,1,6,2,0,2,0,0,0,1,0,1,12,12,4,3,2,1,2,0,0,8,7,1,0,9,0,4,2
5338249441,1,,5338249442,18,9,9,3,1,2,17,9,8,13,7,6,17,9,8,17,9,8,4,2,2,1,0,1,1,0,1,0,0,0,0,0,0,6,6,2,1,2,1,0,1,0,5,4,1,2,3,0,1,1
5338249442,2,5338249441,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5338249443,0,,,29,16,13,2,1,1,26,14,12,14,8,6,25,13,12,23,11,12,12,6,6,8,5,3,2,1,1,1,0,1,0,0,0,10,10,2,2,4,1,0,0,1,8,5,3,0,6,0,1,1
5338249511,0,,,68,32,36,12,4,8,55,27,28,47,24,23,53,27,26,51,25,26,8,3,5,5,1,4,3,0,3,1,0,1,0,0,0,23,23,4,6,4,5,4,0,0,19,17,2,4,6,0,1,2
5338249512,1,,5338249513;5338249544,16,8,8,4,4,0,16,6,10,12,5,7,16,6,10,16,6,10,4,1,3,2,0,2,2,0,2,1,0,1,0,0,0,6,6,1,3,3,1,0,0,0,7,7,0,2,3,0,1,0
5338249513,2,5338249512,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5338249544,2,5338249512,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
